quotation	type	source	translation	notes
Latius regnes, avidum domando Spiritum, quam si Libyam remotis Gadibus jungas, et uterque Poenus Serviat uni.		horatius	You may possess a more extensive dominion by controlling a craving disposition, than if you could unite Libya to the distant Gades, and the natives of either Carthage were subject to you alone.	
Linguae prorsus non nego Habere atque agere maximas me gratias Verum oculis ut priveris opto perfidis.		phaedrus	I do not deny that to your tongue I owe most sincere thanks, and I return them; but I wish you may be deprived of your perfidious eyes.	Said to one who, though he may hold his tongue, still acts the traitor by his significant looks.
Latrant me, lateo ac taceo.			They bark at me, but I lie hid, and hold my tongue.	
Linguam alicujus futilem ac ventosam retundere.		livius	To silence the babbling empty tongue of a person.	
Latrante uno, latrat statim et alter canis.	proverb		When one dog barks, another at once barks too.	
Linguam compescere, virtus non minima est.			To restrain the tongue is not the least of virtues.	
Linquenda tellus, et domus, et placens Uxor, neque harum, quas colis, arborum, Te, praeter invisas cupressos, Ulla brevem dominum sequetur.		horatius	Your estate, your house, and your pleasing wife must be left, nor shall any of these trees which you are tending follow you, their owner for a brief space, except the hated cypresses.	The cypress was planted near the graves of the dead.
Latrantem curatne alta Diana canem?	proverb		Does Diana on high care for the dog that bays her?	
Lis litem generat.	proverb		Strife begets strife.	
Laudari a laudato viro.		cicero	To be praised by a man who deserves praise.	
Litem paret lis, noxa item noxam parit.	proverb		Dispute begets dispute, and injury begets injury.	
Laudat venales qui vult extrudere merces.		horatius	He praises the wares he has to sell who wishes to push them off upon others.	
Litera canina.			The canine letter.	"The letter R is so called, as it seems to be pronounced by a dog when he snarls, "" Grr, Grrr,"" as Rabelais says."
Laudato ingentia rura, Exiguum colito.		virgilius	Commend large estates, but cultivate a small one.	You will both avoid giving offence to others, and will insure your own happiness and peace of mind.
Litera scripta manet.			The written letter remains.	Words may escape our memory, but that which is written remains established as proof of the intention of the writer. Probably a portion of a mediaeval pentameter.
Laudator temporis acti.		horatius	A praiser of times past.	An old man, who, like Nestor in the Iliad, is always praising the men and manners of former times. A weakness both amiable and natural. See Aetas parentum, &c.
Literae Bellerophontis.	proverb		Letters of Bellerophon.	Proetus, king of Argos, suspecting that Bellerophon had attempted to corrupt the chastity of his wife, sent him to the king of Syria with a sealed letter directing him to put the bearer to death. Hence letters which are dangerous to the bearer are called Literae Bellerophontis.
Laudatur ab his, culpatur ab illis.		horatius	He is praised by these, censured by those.	
Literae humaniores.			Polite literature.	"Or ""arts,"" in University parlance."
Laudibus arguitur vini vinosus.		horatius	The drunkard is convicted by his praises of wine.	
Littus ama, altum alii teneant.		virgilius	Hug the shore, let others stand out into the deep.	Figuratively applied, these words warn us not to launch out into hazardous enterprises, but to consult the dictates of prudence.
Laudis amore tumes? sunt certa piacula quae te Ter pure lecto, poterunt recreare, libello.		horatius	Do you swell with the love of praise? There are [in philosophy] certain purgations which can restore you, a certain treatise being thrice perused with purity of mind.	
Lividi limis oculis semper aspiciunt aliorum commoda.		cicero	Envious men always view with jealousy the prosperity of others.	
Judicandum est legibus, non exemplis.	law maxim		We must judge according to law, not by precedent.	
Laudo Deum verum, plebem voco, congrego clerum, Defunctos ploro, pestem fugo, festa decoro.			I praise the true God, I summon the people, I assemble the clergy, I mourn the dead, I put to flight the plague, I celebrate festivals.	Inscription on a church bell. See Funera, &c.
Loc. cit.			In the place quoted.	For Loco citato.
Judice te mercede caret, per seque petenda est Externis virtus incomitata bonis.		ovidius	In thy judgment, virtue needs no reward, and is to be sought for her own sake, unaccompanied by external benefits.	
Laudo, malum cum amici tuum ducis malum.		plautus	I commend you for considering the affliction of your friend your own affliction.	
Locum tenens.			Holding his place.	Meaning, a person acting for, or holding the office of, another. A substitute or deputy, or, more strictly speaking, a lieutenant.
Judices qui ex lege judicatis, legibus obtemperare debetis.		cicero	You judges who judge according to the law, ought to be obedient to the law.	
Laureum baculum gesto.	proverb		I carry a sprig of laurel.	I am proof against all dangers. The laurel was thought by the ancients to be an antidote against poison, and to afford security against lightning.
Locus est et pluribus umbris.		horatius	There is room enough for more to introduce their friends.	"The ""umbra,"" or ""shadow,"" was a guest's friend, allowed by the Roman custom to accompany him at banquets and entertainments."
Judicia Dei sunt ita recondita ut quis illa scrutari nullatenus possit.		cicero	The decrees of God are so impenetrable, that no one can possibly scrutinize them.	The ways of Heaven are unsearchable. See Job v. 9; Rom. ii. 33.
Locus in quo.			The place in which.	Meaning, the place or position which was previously occupied.
Judicio acri perpendere.		lucretius	To weigh with keen discernment.	
Locus sigilli.			The place for the seal.	Which is pointed out in copies of deeds or sealed documents by the letters L. S.
Judicis est innocentiae subvenire.		cicero	It is the duty of the judge to succour innocence.	
Locus standi.			A place for standing.	A position assumed in argument.
Judicis officium est, ut res, ita tempora rerum Quaerere.		ovidius	It is the duty of a judge, to consider not only the facts, but the circumstances of the case.	
Longa est injuria, longae Ambages.		virgilius	Lengthened is the story of my wrongs, tedious the detail.	
Judicium Dei.			The judgment of God.	The name by which the ordeal by fire or water was called in the middle ages, because it was supposed that God would by his intervention manifest the guilt or innocence of the party tried.
Longa mora est, quantum noxae sit ubique repertum Enumerare: minor fuit ipsa infamia vero.		ovidius	It were an endless task to enumerate how great an amount of guilt everywhere prevailed; even the report itself was below the truth.	The words of Jupiter when he found it necessary to destroy mankind by the deluge.
Judicium parium aut leges terrae.			The judgment of our peers, or the laws of the land.	By these only can an Englishman be condemned. Words from the Magna Charta, selected as his motto by that eminent judge, Lord Camden. The nobles are judged by the nobles, the commons by the commons, each by their peers.
Longa via est, nec tempora longa supersunt, Dixit; et hospitibus janua nostra patet.		ovidius	'Long is the road,' said he, 'and little of the day remains; my door too is ever open to the stranger.'	
Judicium subtile videndis artibus.		horatius	An acute discernment in understanding the arts.	
Longe aberrat scopo.			He is wide of the mark.	He has wandered far from his sphere.
Jugulare mortuos.	proverb		To stab the dead.	To be guilty not only of needless cruelty, but also of cowardice.
Longe absit.			Far be it from me.	"Or as we say, ""God forbid."""
Juncta juvant.			United, they assist.	Said of things trifling in themselves, but which, put together, acquire strength.
Longe mea discrepat istis Et vox et ratio.		horatius	Both my language and my sentiments differ widely from theirs.	
Jungere dextras.		virgilius	To join right hands.	"Or, as we say, ""to shake hands."""
Longum iter est per praecepta, breve et efficax per exempla.		seneca	The road by precept is long; by example, short and effectual.	
Jungere equos Titan velocibus imperat Horis.		ovidius	Titan commands the swift-flying Hours to yoke the horses.	The poet speaks of the Hours, which were personified under the names of Eunomia, Dice, Irene, Carpo, and Thallo, as harnessing the horses of the sun.
Jupiter est quodcunque vides, quocunque moveris.		lucanus	Where'er you turn your eyes, where'er you move, 'tis God you see.	The doctrine of Pantheism.
Laus Deo.			Praise be to God.	
Jupiter in multos temeraria fulmina torquet, Qui poenam culpa non meruere pati.		ovidius	Jupiter hurls his lightnings at random against many who have not deserved punishment for any commensurate fault.	
Laus in proprio ore sordescit.	proverb		A man's own praise of himself is unseemly.	Self-praise is no recommendation.
Leberide caecior.	proverb		Blinder than a serpent's slough.	Which has holes only instead of eyes.
Loquendum ut vulgus, sentiendum ut docti.		edward coke	We should speak with the populace, think with the learned.	
Lege totum si vis scire totum.			Read the whole if you wish to know the whole.	It is not easy to judge of a book on one connected subject, by reading a bit here and there.
Lotis manibus.			With clean hands.	
Legem brevem esse oportet quo facilius ab imperitis teneatur.		seneca	A law ought to be short that it may be the more easily understood by the unlearned.	
Lubrica nascentes implent conchylia lunae.		horatius	The increasing moon plumps up the slippery oyster.	A dictum to be remembered by the epicure.
